Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
0,group12_sub1,23,danish,male,./final_images\BF17_NC_neutral.jpg,e,0.8580419002100825,neutral,neutral,black,female,40,100,140,43
1,group12_sub1,23,danish,male,./final_images\BF13_HC_happy.jpg,i,1.8081025001592927,correct,happy,black,female,20,200,220,33
2,group12_sub1,23,danish,male,./final_images\BF07_HC_happy.jpg,i,2.742013100069016,correct,happy,black,female,20,200,220,33
3,group12_sub1,23,danish,male,./final_images\BM05_NO_neutral.jpg,e,3.666992200072855,neutral,neutral,black,male,40,100,140,43
4,group12_sub1,23,danish,male,./final_images\BM13_SC_sad.jpg,e,4.490912100067362,correct,sad,black,male,30,100,130,23
5,group12_sub1,23,danish,male,./final_images\AF12_HO_happy.jpg,i,5.269048100104556,correct,happy,asian,female,20,200,220,32
6,group12_sub1,23,danish,male,./final_images\WF03_NO_neutral.jpg,e,6.253033300163224,neutral,neutral,white,female,40,100,140,41
7,group12_sub1,23,danish,male,./final_images\BF01_HC_happy.jpg,i,6.982028700178489,correct,happy,black,female,20,200,220,33
8,group12_sub1,23,danish,male,./final_images\AF08_HO_happy.jpg,i,7.731966300169006,correct,happy,asian,female,20,200,220,32
9,group12_sub1,23,danish,male,./final_images\WM08_SO_sad.jpg,e,8.551987900165841,correct,sad,white,male,30,100,130,21
10,group12_sub1,23,danish,male,./final_images\WF07_SO_sad.jpg,e,9.43303730012849,correct,sad,white,female,30,100,130,21
11,group12_sub1,23,danish,male,./final_images\BM05_SO_sad.jpg,e,10.171917400090024,correct,sad,black,male,30,100,130,23
12,group12_sub1,23,danish,male,./final_images\BM17_NO_neutral.jpg,e,11.057035400066525,neutral,neutral,black,male,40,100,140,43
13,group12_sub1,23,danish,male,./final_images\WF01_NO_neutral.jpg,e,12.042896600207314,neutral,neutral,white,female,40,100,140,41
14,group12_sub1,23,danish,male,./final_images\WF07_SC_sad.jpg,e,12.857057900168002,correct,sad,white,female,30,100,130,21
15,group12_sub1,23,danish,male,./final_images\BF19_SC_sad.jpg,e,13.613057899987323,correct,sad,black,female,30,100,130,23
16,group12_sub1,23,danish,male,./final_images\WM13_HC_happy.jpg,i,14.3669865000993,correct,happy,white,male,20,200,220,31
17,group12_sub1,23,danish,male,./final_images\WF13_SO_sad.jpg,e,15.129933300195262,correct,sad,white,female,30,100,130,21
18,group12_sub1,23,danish,male,./final_images\WF14_SO_sad.jpg,e,15.8989664001856,correct,sad,white,female,30,100,130,21
19,group12_sub1,23,danish,male,./final_images\WF07_HO_happy.jpg,i,16.675994200166315,correct,happy,white,female,20,200,220,31
20,group12_sub1,23,danish,male,./final_images\AM01_HO_happy.jpg,i,17.45997319999151,correct,happy,asian,male,20,200,220,32
21,group12_sub1,23,danish,male,./final_images\WF04_NO_neutral.jpg,e,18.315965900197625,neutral,neutral,white,female,40,100,140,41
22,group12_sub1,23,danish,male,./final_images\BF01_SC_sad.jpg,e,19.05696570011787,correct,sad,black,female,30,100,130,23
23,group12_sub1,23,danish,male,./final_images\WM04_SC_sad.jpg,e,19.80496109998785,correct,sad,white,male,30,100,130,21
24,group12_sub1,23,danish,male,./final_images\AF12_SC_sad.jpg,e,20.57197520020418,correct,sad,asian,female,30,100,130,22
25,group12_sub1,23,danish,male,./final_images\BF13_HO_happy.jpg,i,21.475910500157624,correct,happy,black,female,20,200,220,33
26,group12_sub1,23,danish,male,./final_images\BM04_HC_happy.jpg,i,22.278944700025026,correct,happy,black,male,20,200,220,33
27,group12_sub1,23,danish,male,./final_images\BM16_NC_neutral.jpg,e,23.13787880004384,neutral,neutral,black,male,40,100,140,43
28,group12_sub1,23,danish,male,./final_images\AF05_HO_happy.jpg,i,23.926052800146863,correct,happy,asian,female,20,200,220,32
29,group12_sub1,23,danish,male,./final_images\AM04_HO_happy.jpg,i,24.63997140014544,correct,happy,asian,male,20,200,220,32
30,group12_sub1,23,danish,male,./final_images\AM03_SC_sad.jpg,e,25.62097649998032,correct,sad,asian,male,30,100,130,22
31,group12_sub1,23,danish,male,./final_images\AF01_HO_happy.jpg,i,26.342983199981973,correct,happy,asian,female,20,200,220,32
32,group12_sub1,23,danish,male,./final_images\AF09_SO_sad.jpg,e,27.17793760006316,correct,sad,asian,female,30,100,130,22
33,group12_sub1,23,danish,male,./final_images\BF17_SC_sad.jpg,i,28.03086850000545,incorrect,sad,black,female,30,200,50,23
34,group12_sub1,23,danish,male,./final_images\BF10_HC_happy.jpg,i,28.82493620016612,correct,happy,black,female,20,200,220,33
35,group12_sub1,23,danish,male,./final_images\WM02_HC_happy.jpg,i,29.56287580006756,correct,happy,white,male,20,200,220,31
36,group12_sub1,23,danish,male,./final_images\AF06_HC_happy.jpg,i,30.331941900076345,correct,happy,asian,female,20,200,220,32
37,group12_sub1,23,danish,male,./final_images\AF02_HC_happy.jpg,i,31.103024100186303,correct,happy,asian,female,20,200,220,32
38,group12_sub1,23,danish,male,./final_images\AF09_SC_sad.jpg,e,31.86289730016142,correct,sad,asian,female,30,100,130,22
39,group12_sub1,23,danish,male,./final_images\WF08_NO_neutral.jpg,e,32.86894270009361,neutral,neutral,white,female,40,100,140,41
40,group12_sub1,23,danish,male,./final_images\BF05_SC_sad.jpg,e,33.63392770010978,correct,sad,black,female,30,100,130,23
41,group12_sub1,23,danish,male,./final_images\AF03_HO_happy.jpg,i,34.47897170018405,correct,happy,asian,female,20,200,220,32
42,group12_sub1,23,danish,male,./final_images\WM02_NO_neutral.jpg,e,35.3149367000442,neutral,neutral,white,male,40,100,140,41
43,group12_sub1,23,danish,male,./final_images\BF16_NO_neutral.jpg,e,36.10093700001016,neutral,neutral,black,female,40,100,140,43
44,group12_sub1,23,danish,male,./final_images\BF08_HC_happy.jpg,i,36.85957760014571,correct,happy,black,female,20,200,220,33
45,group12_sub1,23,danish,male,./final_images\AM03_HO_happy.jpg,i,37.58789100009017,correct,happy,asian,male,20,200,220,32
46,group12_sub1,23,danish,male,./final_images\BF10_NC_neutral.jpg,e,38.544866300188005,neutral,neutral,black,female,40,100,140,43
47,group12_sub1,23,danish,male,./final_images\BM18_NO_neutral.jpg,e,39.43394670006819,neutral,neutral,black,male,40,100,140,43
48,group12_sub1,23,danish,male,./final_images\AM07_SC_sad.jpg,e,40.33900020015426,correct,sad,asian,male,30,100,130,22
